correct,exact_confidence,most_common_synset_Wu_Palmer_similarity_confidence,most_common_synset_path_similarity_confidence,spacy_confidence,spacy_dir_object_confidence,spacy_ind_object_confidence,spacy_subject_confidence,spacy_synset_average_confidence,synset_confidence
1,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
-1,0.16666666666666666,0.35657894736842105,0.2967261904761905,0.40328209036101936,0.0,0.0,0.0,0.284974378513843,0.16666666666666666
-1,0.125,0.378125,0.33125,0.649921992524172,1.0,0.0,0.0,0.387460996262086,0.125
-1,0.0,0.3514705882352941,0.15208333333333335,0.3514554890901565,0.0,0.0,0.0,0.17572774454507825,0.0
-1,0.0,0.263640719445673,0.10727813852813851,0.37292749828678623,0.0,0.0,0.0,0.18646374914339311,0.0
-1,0.0,0.22054473304473304,0.11549688057041,0.3768176651651034,0.0,0.0,0.0,0.1884088325825517,0.0
-1,0.0,0.2594298245614035,0.1111111111111111,0.33669489288320803,0.0,0.0,0.0,0.16834744644160402,0.0
-1,0.0,0.1994318181818182,0.09958333333333333,0.5112981523227008,0.0,0.0,0.0,0.2556490761613504,0.0
-1,0.0,0.2107142857142857,0.13541666666666666,0.47364595864823716,0.0,0.0,0.0,0.23682297932411858,0.0
-1,0.0,0.27941176470588236,0.15,0.5222013789756815,0.0,0.0,0.0,0.26110068948784076,0.0
-1,0.0,0.26875,0.11030982905982906,0.08418946242889024,0.0,0.0,0.0,0.04209473121444512,0.0
-1,0.0,0.2111111111111111,0.1111111111111111,0.30584458412959253,0.0,0.0,0.0,0.15292229206479627,0.0
-1,0.0,0.26323529411764707,0.14136904761904762,0.1737751351782861,0.0,0.0,0.0,0.08688756758914305,0.0
-1,0.0,0.24927248677248676,0.10612073112073112,0.6316618514046707,0.0,0.0,0.0,0.31583092570233534,0.0
-1,0.0,0.2766269841269841,0.11831709956709954,0.5599000301811964,0.0,0.0,0.0,0.2799500150905982,0.0
-1,0.0,0.21726190476190477,0.10606060606060606,0.5754884831045394,0.0,0.0,0.0,0.2877442415522697,0.0
-1,0.0,0.175,0.11458333333333333,0.3188250510462826,0.0,0.0,0.0,0.1594125255231413,0.0
-1,0.0,0.2222222222222222,0.13979341736694678,0.6496391210392874,0.0,0.0,0.0,0.3248195605196437,0.0
-1,0.0,0.2111111111111111,0.1111111111111111,0.3485110750853597,0.0,0.0,0.0,0.17425553754267986,0.0
-1,0.0,0.3482638888888889,0.1268939393939394,0.2436700170232466,0.0,0.0,0.0,0.1218350085116233,0.0
-1,0.125,0.35694444444444445,0.1653409090909091,0.26216266770689556,0.0,0.0,1.0,0.19358133385344778,0.125
-1,0.125,0.27291666666666664,0.15090811965811965,0.6927526629136042,0.0,0.0,0.0,0.4088763314568021,0.125
-1,0.125,0.31875,0.14155982905982906,0.5317560738834616,0.0,0.0,0.0,0.3283780369417308,0.125
-1,0.16666666666666666,0.35657894736842105,0.2967261904761905,0.4032820338996058,0.0,0.0,0.0,0.2849743502831362,0.16666666666666666
1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
-1,0.2,0.38470394736842106,0.31547619047619047,0.40446007224895797,0.0,0.0,0.0,0.30223003612447896,0.2
-1,0.0,0.5480392156862746,0.39269230769230773,0.5004439161969817,0.0,0.0,0.0,0.25022195809849085,0.0
-1,0.0,0.4455602240896358,0.24932178932178933,0.37186340014414343,0.0,0.0,0.0,0.18593170007207172,0.0
-1,0.0,0.3525685425685426,0.2736408199643494,0.5014504553015793,0.0,0.0,0.0,0.25072522765078964,0.0
-1,0.0,0.3921727395411606,0.27041666666666664,0.542877043949602,0.0,0.0,0.0,0.271438521974801,0.0
-1,0.0,0.2167112299465241,0.10688644688644687,0.4122200324821183,0.0,0.0,0.0,0.20611001624105915,0.0
-1,0.0,0.3232142857142857,0.2875,0.42770959108696743,0.0,0.0,0.0,0.21385479554348372,0.0
-1,0.0,0.4741830065359477,0.35984848484848486,0.7051609585829752,0.0,0.0,0.0,0.3525804792914876,0.0
-1,0.0,0.40404411764705883,0.26794871794871794,0.4201079331322456,0.0,0.0,0.0,0.2100539665661228,0.0
-1,0.0,0.36277777777777775,0.2965811965811966,0.5887002911313189,0.0,0.0,0.0,0.29435014556565947,0.0
